Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
224244895,00000601,false,Rx,0,8,42,53,4D,20,52,30,00,40,
224273079,00000609,false,Rx,0,8,43,53,42,2D,52,32,00,41,
224376831,00000701,false,Rx,0,8,56,49,4F,2D,52,34,00,60,
226632750,00000380,false,Rx,0,7,02,00,02,00,E0,00,00,00,
227536110,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
227635682,00000380,false,Rx,0,7,02,00,02,00,00,00,03,00,
228539326,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
228638945,00000380,false,Rx,0,7,02,00,02,00,00,00,07,00,
229542499,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
229642096,00000380,false,Rx,0,7,02,00,02,00,00,00,0B,00,
230545711,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
230645342,00000380,false,Rx,0,7,02,00,02,00,00,00,0F,00,
230915048,000000D8,false,Rx,0,6,A0,80,00,A0,80,00,00,00,
231548830,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
231648485,00000380,false,Rx,0,7,02,00,02,00,00,00,13,00,
317275941,000000A0,false,Rx,0,6,A0,80,00,9F,80,01,00,00,
317279502,00000000,false,Rx,0,8,00,04,00,00,00,00,00,00,
317280435,00000098,false,Rx,0,6,A0,80,00,9F,80,02,00,00,
317281466,000000A8,false,Rx,0,6,A0,80,00,9F,80,08,00,00,
317283761,000000D0,false,Rx,0,6,A0,80,00,9F,80,04,00,00,
317285527,000000C8,false,Rx,0,6,A0,80,01,A0,80,00,00,00,
317287146,00000088,false,Rx,0,6,A0,80,02,A0,80,00,00,00,
317290737,000000C0,false,Rx,0,6,A0,80,00,9F,80,06,00,00,
317292409,000000B8,false,Rx,0,6,A0,80,05,9F,80,08,00,00,
317293591,00000090,false,Rx,0,6,28,80,00,9F,80,05,00,00,
317294758,000000B0,false,Rx,0,6,A0,80,01,A0,80,00,00,00,
317343872,00000601,false,Rx,0,8,42,53,4D,20,52,30,00,40,
317371925,00000609,false,Rx,0,8,43,53,42,2D,52,32,00,41,
317476103,00000701,false,Rx,0,8,56,49,4F,2D,52,34,00,60,
319732022,00000380,false,Rx,0,7,02,00,02,00,F0,00,00,00,
320635448,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
320735307,00000380,false,Rx,0,7,02,00,02,00,00,00,03,00,
321638610,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
321738395,00000380,false,Rx,0,7,02,00,02,00,00,00,07,00,
322641795,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
322741302,00000380,false,Rx,0,7,02,00,02,00,00,00,0B,00,
323645019,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
323744573,00000380,false,Rx,0,7,02,00,02,00,00,00,0F,00,
324648167,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
324747728,00000380,false,Rx,0,7,02,00,02,00,00,00,13,00,
325651373,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
325751013,00000380,false,Rx,0,7,02,00,02,00,00,00,17,00,
326655525,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
326754329,00000380,false,Rx,0,7,02,00,02,00,00,00,1B,00,
327657859,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
327757299,00000380,false,Rx,0,7,02,00,02,00,00,00,1F,00,
328660938,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
328760513,00000380,false,Rx,0,7,02,00,02,00,00,00,23,00,
329664343,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
329763704,00000380,false,Rx,0,7,02,00,02,00,00,00,27,00,
330667297,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
330766845,00000380,false,Rx,0,7,02,00,02,00,00,00,2B,00,
331670509,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
331770080,00000380,false,Rx,0,7,02,00,02,00,00,00,2F,00,
332673695,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
332773254,00000380,false,Rx,0,7,02,00,02,00,00,00,33,00,
333676882,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
333776396,00000380,false,Rx,0,7,02,00,02,00,00,00,37,00,
334680078,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
334779609,00000380,false,Rx,0,7,02,00,02,00,00,00,3B,00,
335683243,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
335782853,00000380,false,Rx,0,7,02,00,02,00,00,00,3F,00,
336686423,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
336786173,00000380,false,Rx,0,7,02,00,02,00,00,00,43,00,
337689615,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
337789176,00000380,false,Rx,0,7,02,00,02,00,00,00,47,00,
338692815,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
338792354,00000380,false,Rx,0,7,02,00,02,00,00,00,4B,00,
339695970,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
339795547,00000380,false,Rx,0,7,02,00,02,00,00,00,4F,00,
340699196,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
340798908,00000380,false,Rx,0,7,02,00,02,00,00,00,53,00,
341702367,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
341801959,00000380,false,Rx,0,7,02,00,02,00,00,00,57,00,
342705644,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
342805115,00000380,false,Rx,0,7,02,00,02,00,00,00,5B,00,
343708750,00000380,false,Rx,0,6,09,46,00,00,00,01,00,00,
343808310,00000380,false,Rx,0,7,02,00,02,00,00,00,5F,00,
