Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10376802,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
10377711,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
10390386,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
10401076,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
10402457,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
10405818,000000AA,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
10407001,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
10408011,00000104,false,Rx,0,8,00,7F,00,19,00,2E,0D,04,
10409032,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
10410033,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,00,
10411031,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
10413054,00000092,false,Rx,0,8,00,80,C8,80,24,85,04,10,
10423221,000000BC,false,Rx,0,8,A1,18,EB,18,0E,63,02,21,
10437930,000000B4,false,Rx,0,8,8C,18,E9,18,AB,62,02,20,
10438901,000000AC,false,Rx,0,8,90,18,E2,18,D2,62,02,23,
10441251,000000CC,false,Rx,0,8,B1,18,EC,18,54,63,02,20,
10442248,0000009C,false,Rx,0,8,A3,18,DA,18,EA,62,02,23,
10445285,000000DA,false,Rx,0,8,78,80,A0,80,9A,85,04,00,
10446255,00000094,false,Rx,0,8,9B,18,EC,18,FA,62,02,23,
10476729,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
10477868,00000288,false,Rx,0,8,04,00,4E,1B,64,C7,06,00,
10478911,00000288,false,Rx,0,7,04,01,28,0E,BE,A7,17,00,
10480073,00000288,false,Rx,0,8,04,02,2E,C5,7C,F8,14,00,
10481064,00000288,false,Rx,0,7,04,03,14,24,0A,CE,46,00,
10481884,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
10502449,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
10503828,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
10507082,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
10508075,00000104,false,Rx,0,8,00,7F,00,19,00,2F,0D,04,
10509090,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
10535429,000000B2,false,Rx,0,8,9F,80,A0,80,9E,85,04,07,
10544479,00000180,false,Rx,0,1,01,00,00,00,00,00,00,00,
10576715,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
10577696,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
10602668,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
10604034,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
10605256,00000006,false,Rx,0,4,25,00,02,01,00,00,00,00,
10606975,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
10607969,00000104,false,Rx,0,8,00,7F,00,19,00,20,0E,04,
10609031,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
10659263,0000010A,false,Rx,0,5,00,00,64,C0,00,00,00,00,
10660258,0000010C,false,Rx,0,3,00,00,00,00,00,00,00,00,
10676752,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
10677774,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
10704038,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
10705400,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
10706916,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
10707915,00000104,false,Rx,0,8,00,7F,00,19,00,21,0E,04,
10708948,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
10776675,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
10777668,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
10793130,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
10804230,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
10805613,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
10806978,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
10807996,00000104,false,Rx,0,8,00,7F,00,19,00,22,0D,04,
10808998,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
10810021,0000008A,false,Rx,0,8,78,80,C8,80,9D,85,04,80,
10811126,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,00,
10812398,000000A2,false,Rx,0,8,78,80,C8,80,9D,85,04,30,
10813396,000000C2,false,Rx,0,8,78,80,C8,80,9E,85,04,20,
