Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1789523008463355,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523008462373,00000104,false,Rx,0,8,04,7F,00,7F,00,2E,10,00,
-1789523008461392,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523008457424,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523008456272,00000288,false,Rx,0,8,04,00,23,BA,3D,96,0D,00,
-1789523008455376,00000288,false,Rx,0,7,04,01,19,5E,C3,F2,2E,00,
-1789523008454310,00000288,false,Rx,0,8,04,02,F9,02,2A,2F,0E,00,
-1789523008453371,00000288,false,Rx,0,7,04,03,E0,E3,71,15,2E,00,
-1789523008452560,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523008443216,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523008442107,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523008363516,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523008362535,00000104,false,Rx,0,8,04,7F,00,7F,00,2F,10,00,
-1789523008361554,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523008357458,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523008356562,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523008342439,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523008341287,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523008340349,00000308,false,Rx,0,8,20,00,45,7D,45,7D,3C,7D,
-1789523008339410,00000308,false,Rx,0,8,20,01,1F,7D,37,7D,4A,7D,
-1789523008338471,000000B2,false,Rx,0,8,37,7D,4A,7D,47,67,04,02,
-1789523008337533,0000030A,false,Rx,0,8,20,02,45,7D,4A,7D,41,7D,
-1789523008336551,00000318,false,Rx,0,8,20,01,41,7D,45,7D,41,7D,
-1789523008335613,00000312,false,Rx,0,8,20,02,32,7D,32,7D,3C,7D,
-1789523008334674,00000310,false,Rx,0,8,20,01,3C,7D,3C,7D,32,7D,
-1789523008333735,00000310,false,Rx,0,8,20,00,3C,7D,41,7D,37,7D,
-1789523008332754,00000318,false,Rx,0,8,20,00,37,7D,41,7D,3C,7D,
-1789523008331816,0000031A,false,Rx,0,8,20,02,41,7D,4F,7D,37,7D,
-1789523008263307,00000102,false,Rx,0,8,00,00,64,66,60,63,7C,00,
-1789523008262325,00000104,false,Rx,0,8,04,7F,00,7F,00,20,10,00,
-1789523008261344,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523008257419,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523008256523,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523008241632,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523008240480,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523008166199,0000010A,false,Rx,0,5,00,00,64,00,00,00,00,00,
-1789523008165473,0000010C,false,Rx,0,3,00,00,00,00,00,00,00,00,
-1789523008163169,00000102,false,Rx,0,8,00,00,64,66,60,63,7C,00,
-1789523008162231,00000104,false,Rx,0,8,04,7F,00,7F,00,21,0F,00,
-1789523008161250,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523008157410,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523008156514,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523008140855,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523008139789,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523008058083,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523008057102,00000104,false,Rx,0,8,04,7F,00,7F,00,22,0F,00,
-1789523008056120,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523008055310,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523008054499,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523008040035,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9D,03,
-1789523008039267,00000280,false,Rx,0,5,06,22,07,C0,19,00,00,00,
-1789523008011705,00000380,false,Rx,0,6,09,35,00,00,1B,04,00,00,
-1789523007957434,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523007956495,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523007955514,00000104,false,Rx,0,8,04,7F,00,7F,00,23,0F,00,
-1789523007954533,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007953850,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007939216,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523007938149,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523007863398,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523007862417,00000104,false,Rx,0,8,04,7F,00,7F,00,24,10,00,
-1789523007861436,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007857425,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523007856529,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007838481,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523007837329,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523007790909,00000380,false,Rx,0,7,02,00,12,00,00,00,F4,00,
-1789523007763346,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523007762365,00000104,false,Rx,0,8,04,7F,00,7F,00,25,0F,00,
-1789523007761384,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007757416,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523007756520,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007737619,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9D,03,
-1789523007736552,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
